If you have any questions or corrections please email Franklin (ffein@stanford.edu),,Please let us know which metrics you found most useful and suggestions for more! https://forms.gle/U7cqAyRm2huJCn3a7,,,,,Last updated: 6/1/2021,,,,,,,,,,,
Assession Number,Dataset URL,Dataset name,Dataset made public (MM/DD/YYYY),Most recent snapshot date (MM/DD/YYYY),# of subjects,Modalities available?,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species?,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
ds002034,https://openneuro.org/datasets/ds002034/versions/1.0.1,Real-time EEG feedback on alpha power lateralization leads to behavioral improvements in a covert attention task,8/23/2019,8/23/2019,14,EEG,Healthy/Control,18-25,"offline, offlinecatch, onlinesham, onlinereal",,,attention task,Yes,No,Human,10.1007/s10548-019-00725-9,,"Millán, José"
ds002040,https://openneuro.org/datasets/ds002040/versions/1.0.2,BIDS_PARKINSON,7/15/2019,7/15/2019,1,MRI - anat,Parkinson,,,,,Parkinson,No,No,Human,,,"Ocampo, Isabel Cristina Echeverri"
ds002041,https://openneuro.org/datasets/ds002041/versions/1.1.0,Mesolimbic dopamine D2 receptors and neural representations of subjective value,8/1/2019,8/1/2019,25,"MRI - anat, MRI - func, PET",Healthy/Control,18-25,Delay discounting,84,,"delayed rewards, ventral striatum",No,No,Human,10.1101/718858,,"Samanez-Larkin, Gregory"
ds002076,https://openneuro.org/datasets/ds002076/versions/1.0.1,Layer-dependent activity in human prefrontal cortex during working memory,9/3/2019,9/3/2019,13,"MRI - anat, MRI - func",,,layer dependent activity task,,,"working memory, prefrontal cortex",No,No,Human,,,"Bandettini, Peter"
ds002080,https://openneuro.org/datasets/ds002080/versions/1.0.0,BTC_postop,7/30/2019,7/30/2019,29,"MRI - anat, MRI - func, MRI - dwi","Healthy/Control, Glioma and Meningioma","35-50, 51-65, 66+",rest,,,Brain Tumor Connectomics ,No,No,Human,"10.1523/ENEURO.0083-18.2018, 10.31234/osf.io/fgqts",,"Marinazzo, Daniele"
ds002087,https://openneuro.org/datasets/ds002087/versions/1.0.0,Datasets with and without deliberate head movements for detection and imputation of dropout in diffusion MRI,8/1/2019,8/1/2019,1,MRI - dwi,Healthy/Control,26-34,,,,signal dropout ,No,No,Human,10.1002/mrm.27893,,"Schultz, Thomas"
ds002094,https://openneuro.org/datasets/ds002094,Single-pulse open-loop TMS-EEG dataset,8/2/2019,8/2/2019,20,EEG,,,"rest, tmseeg1, tmseeg2",,,,No,No,Human,,,"Cohen, Leonardo"
ds002105,https://openneuro.org/datasets/ds002105/versions/1.1.0,Multi-Domain Task Battery (MDTB),5/10/2020,5/10/2020,24,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34","a, b, rest",,Multi-task data battery,Cognition,No,No,Human,10.1038/s41593-019-0436-x,,"Diedrichsen, Jorn"
ds002116,https://openneuro.org/datasets/ds002116/versions/1.0.0,Development of Symbolic Number Processing,12/10/2020,12/10/2020,57,"MRI - anat, MRI - func",Healthy/Control,"0-10, 11-17",Adaptation,,,,No,No,Human,,,"Ansari, Daniel"
ds002134,https://openneuro.org/datasets/ds002134/versions/1.0.0,Mouse_opto_3xTG,4/3/2020,4/3/2020,31,"MRI - anat, MRI - func","Alzheimer's disease-like pathology, 3xTGAD, and a cohort of controls",,"opto10, opto20, opto5, rest",,"pathology progression, in a preclinical setting",changes in the lateral entorhinal area network organization,Yes,No,Mouse,,,"Grandjean, Joanes"
ds002144,https://openneuro.org/datasets/ds002144/versions/2.0.0,Stat Episodic,8/11/2020,8/4/2020,36,"MRI - anat, MRI - func",,,"category pairings, random presentation",,,,No,No,Human,,,"Turk-Browne, Nick"
ds002149,https://openneuro.org/datasets/ds002149/versions/1.0.3,Conditional Visual Associative Learning Task,9/10/2019,9/10/2019,20,"MRI - anat, MRI - func",Healthy/Control,18-25,conditional memory-guided associative learning task,,,memory-guided decisions,No,Yes,Human,10.1016/j.celrep.2019.08.002,,"Mattfeld, Aaron"
ds002153,https://openneuro.org/datasets/ds002153/versions/1.0.1,testrun,9/9/2019,9/9/2019,1,"MRI - anat, MRI - func",,,,,OpenNeuro Testrun,OpenNeuro Testrun,No,No,Human,,,
ds002154,https://openneuro.org/datasets/ds002154/versions/1.0.0,Mouse_rest_psilocybin_pilot,9/2/2019,9/2/2019,24,MRI - func,Healthy/Control,,rest,,Psilocybin experiment,Psilocybin as a potential antidepressant,Yes,No,Mouse,10.1101/751255,,"Grandjean, Joanes"
ds002155,https://openneuro.org/datasets/ds002155/versions/1.0.0,A mesial-to-lateral dissociation for orthographic processing in the visual cortex,9/3/2019,9/3/2019,20,"MRI - anat, MRI - func",,,"graphemes, regularity ",,,"orthographic processing, visual cortex",No,No,Human,10.1073/pnas.1904184116,,"Cohen, Laurent"
ds002156,https://openneuro.org/datasets/ds002156/versions/1.0.0,Multi-echo masking test dataset,9/3/2019,9/3/2019,1,"MRI - anat, MRI - func, Field Map",depression,"0-10, 11-17",rest,,Debugging masking issues with multiecho datasets,Debugging masking issues with multiecho datasets,No,No,Human,,,"Stringaris, Argyris"
ds002158,https://openneuro.org/datasets/ds002158/versions/1.0.1,Disentangling the origins of confidence in speeded perceptual judgments through multimodal imaging,3/19/2020,2/6/2020,20,"MRI - anat, MRI - func, EEG, Field Map",Healthy/Control,"18-25, 26-34","rest, main",288,,metacognition,No,Yes,Human,10.1073/pnas.1918335117,,"Millán, José"
ds002168,https://openneuro.org/datasets/ds002168/versions/1.0.0,Pattern Separation beyond the Hippocampus: A High-Resolution Whole-Brain Investigation of Mnemonic Discrimination in Healthy Adults,5/12/2020,9/10/2019,48,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",MST,,,mnemonic discrimination,No,No,Human,,,"Kirwan, Brock"
ds002169,https://openneuro.org/datasets/ds002169/versions/1.0.0,CCD,3/13/2020,9/14/2019,33,"MRI - anat, MRI - func, Field Map",,,"CCD, Localizer",,,,No,No,Human,10.1038/s41467-020-15928-z,,"Wagner, Anthony"
ds002179,https://openneuro.org/datasets/ds002179/versions/1.0.0,7 Tesla MRI of the ex vivo human brain at 100 micron resolution,9/16/2019,9/16/2019,1,MRI - anat,Healthy/Control,51-65,,,100 micron resolution of ex vivo brain,,No,Yes,Human,10.1038/s41597-019-0254-8,,"Edlow, Brian"
ds002181,https://openneuro.org/datasets/ds002181,CRYPTO and PROVIDE EEG Baseline Data,9/16/2019,9/16/2019,226,EEG,Healthy/Control,0-10,,,,faltered growth,No,No,Human,10.1101/447722,,"Nelson, Charles"
ds002185,https://openneuro.org/datasets/ds002185/versions/1.0.2,Human Olfaction Without Apparent Olfactory Bulbs,9/21/2019,9/22/2019,22,"MRI - anat, MRI - func, MRI - dwi","Healthy/Control, without an Olfactory bulb","18-25, 26-34",odors,,,Olfaction ,No,No,Human,10.1016/j.neuron.2019.10.006,,"Sobel, Noam"
ds002207,https://openneuro.org/datasets/ds002207/versions/1.0.0,CEREBRuM: a 3T MRI segmentation tool,9/26/2019,9/26/2019,7,MRI - anat,,,,,Method development,Method development,No,Yes,Human,arXiv:1909.05085,,"Muckli, Lars"
ds002218,https://openneuro.org/datasets/ds002218/versions/2.0.0,Auditory and Visual Rhythm Omission EEG,10/2/2019,10/2/2019,18,EEG,,,omission paradigm,,,predictive neural activity from sensory evoked neural activity,No,No,Human,,,"Balasubramaniam, Ramesh"
ds002232,https://openneuro.org/datasets/ds002232/versions/1.0.0,Caltech rsfMRI Dataset,10/6/2019,10/6/2019,6,"MRI - anat, MRI - func, Field Map",Single cerebral hemisphere due to severe epilepsy,"18-25, 26-34",rest,,,"Intrinsic functional connectivity, single cerebral hemisphere",No,No,Human,10.1016/j.celrep.2019.10.067,,"Paul, Lynn"
ds002236,https://openneuro.org/datasets/ds002236/versions/1.0.0,Cross-Sectional Multidomain Lexical Processing,10/17/2019,10/9/2019,91,"MRI - anat, MRI - func",,"0-10, 11-17","Auditory Rhyming Judgment, Auditory Semantic Judgment, Visual Rhyming Judgment, Auditory Spelling Judgment, Visual Semantic Judgment, Visual Spelling Judgment",,,lexical processing,No,Yes,Human,"10.1371/journal.pone.0059204, 10.1016/j.bandl.2012.12.007, 10.1523/JNEUROSCI.0334-11.2011, 10.1371/journal.pone.0013492, 10.1523/JNEUROSCI.1245-10.2010, 10.1016/j.brainres.2010.07.097, 10.1016/j.bandl.2009.07.005, 10.1162/jocn.2009.21065, 10.1002/hbm.20476, 10.1016/j.neuropsychologia.2008.07.024, 10.1016/j.bandl.2007.12.009, 10.1016/j.neuroimage.2008.02.055, 10.1016/j.neuropsychologia.2007.12.021, 10.1016/j.brainres.2007.10.080, 10.1002/hbm.20313, 10.1111/j.1467-7687.2007.00598.x, 10.1016/j.neuroimage.2007.07.048, 10.1016/j.brainres.2006.11.074, 10.1016/j.neuropsychologia.2006.08.015,
 10.1016/j.bandl.2005.07.004, 10.1002/hbm.20231, 10.1111/j.1469-7610.2006.01684.x, 10.1016/j.neuroimage.2005.09.064, 10.1016/j.dib.2019.105091",,"Booth, James"
ds002237,https://openneuro.org/datasets/ds002237/versions/1.0.0,Briefly cueing memories leads to suppression of their neural representations,10/11/2019,10/11/2019,16,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Rapid serial visual presentation (RSVP), memory",,,"memory, neural representations",No,No,Human,10.1523/JNEUROSCI.4584-13.2014,,"Norman, Kenneth"
ds002241,https://openneuro.org/datasets/ds002241/versions/1.1.0,Relating visual production and recognition of objects in human visual cortex,12/3/2020,12/3/2020,31,"MRI - anat, MRI - func",Healthy/Control,18-25,"drawing, recognition",,,,No,No,Human,10.1523/JNEUROSCI.1843-19.2019,,"Turk-Browne, Nicholas"
ds002242,https://openneuro.org/datasets/ds002242/versions/1.0.0,Correcting False Memories: The Effect of Mnemonic Generalization on Original Memory Traces,10/15/2019,10/15/2019,35,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",,,,"memory, false memories",No,No,Human,,,"Kirwan, Brock"
ds002247,https://openneuro.org/datasets/ds002247/versions/1.0.0,The Reading Brain Project L1 Adults,10/21/2019,10/21/2019,52,"MRI - anat, MRI - func, MRI - dwi, Field Map",Healthy/Control,,"read task, rest",,,,No,No,Human,"10.1007/s11145-017-9781-x, 10.1016/j.jneuroling.2018.03.005, 10.1038/s41598-019-47176-7, 10.1038/s41598-020-68554-6",,"Li, Ping"
ds002250,https://openneuro.org/datasets/ds002250/versions/1.0.0,The agency of accidents : neural correlates of moral judgments for first-person and third-person accidental harms,10/22/2019,10/22/2019,20,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","firstthird, so, tom",,,moral judgements,No,No,Human,,,"Young, Liane"
ds002270,https://openneuro.org/datasets/ds002270/versions/1.0.0,Viewing_food_cues,10/28/2019,10/28/2019,19,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34",Viewing alternating blocks presenting either ready-to-eat edible objects or pictures of items unrelated to food,9,,Feeding,No,No,Human,10.1371/journal.pone.0141358,,"Bonny, Jean-Marie"
ds002274,https://openneuro.org/datasets/ds002274/versions/1.0.2,Hands on analysis tutorial,10/28/2019,10/28/2019,1,MRI - anat,,,,,tutorial,tutorial,No,No,Human,10.1016/j.pneurobio.2020.101835,,"Huber, Renzo"
ds002278,https://openneuro.org/datasets/ds002278/versions/1.0.0,Dense Investigation of Variability of Affect (DIVA),10/29/2019,10/29/2019,1,"MRI - anat, MRI - func, Field Map, SWI",Healthy/Control,18-25,"Stranger Things, localization task, detection version, localization task, estimation version",,,Pilot data,No,No,Human,,,"Laird, Angela"
ds002293,https://openneuro.org/datasets/ds002293/versions/1.0.0,FSL open science dev dataset,10/31/2019,10/31/2019,1,MRI - anat,,,,,tool development dataset,tool development dataset,No,No,Human,,,"Karim, Karim"
ds002294,https://openneuro.org/datasets/ds002294/versions/1.0.0,trait-role,4/14/2020,4/14/2020,40,"MRI - anat, MRI - func, Field Map",Healthy/Control,,roletrait,200,,Social Neuroscience,No,No,Human,10.1016/j.cortex.2020.02.025,,"Cunningham, William"
ds002295,https://openneuro.org/datasets/ds002295/versions/1.0.0,ODC mapper 7T surface coil,5/18/2020,5/18/2020,7,"MRI - anat, MRI - func, Field Map",Healthy/Control,,"Detect changes in checkerboard rotation direction, PRF stimulus, Detect Fixation changes",,,,No,Yes,Human,,,"Knapen, Tomas"
ds002306,https://openneuro.org/datasets/ds002306/versions/1.0.1,Over 100 Task fMRI Dataset,1/26/2020,1/26/2020,6,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Over 100 tasks,,,,No,No,Human,"10.1101/614081, 10.1038/s41467-020-14913-w",,"Nishimoto, Shinji"
ds002307,https://openneuro.org/datasets/ds002307/versions/2.0.0,individual_dMRI_fMRI,11/6/2019,11/10/2019,19,"MRI - anat, MRI - func, MRI - dwi",male F1 B6/129P,,resting state,,,,Yes,No,Mice,,,"Kahn, Itamar"
ds002311,https://openneuro.org/datasets/ds002311/versions/1.1.0,Multiple-object tracking as atool for parametrically modulating memory reactivation,11/8/2019,11/12/2019,23,"MRI - anat, MRI - func, Field Map",Healthy/Control,18-25,"Category Localizer, Post-MOT memory test, MOT task, Pre-MOT memory test",,,memory,No,No,Human,10.1162/jocn_a_01132,,"Norman, Kenneth"
ds002316,https://openneuro.org/datasets/ds002316/versions/1.0.0,rewardBeast,11/12/2019,11/12/2019,36,"MRI - anat, MRI - func, Field Map",Healthy/Control,,"reward, Beast, rest",,,,No,No,Human,,,"Poldrack, Russ"
ds002320,https://openneuro.org/datasets/ds002320/versions/1.0.0,Dynamic_Passive_Threat,11/14/2019,11/14/2019,80,"MRI - anat, MRI - func, fmap",,,circles,,,emotion,No,No,Human,http://lce.umd.edu,,"Pessoa, Luiz"
ds002322,https://openneuro.org/datasets/ds002322/versions/1.0.0,The Alice Dataset: fMRI Dataset to Study Natural Language Comprehension in the Brain,11/15/2019,11/15/2019,26,"MRI - anat, MRI - func",Healthy/Control,18-25,alice,,,language,No,Yes,Human,10.1016/j.bandl.2016.04.008,https://www.aclweb.org/anthology/2020.lrec-1.15.pdf,"Hale, John"
ds002328,https://openneuro.org/datasets/ds002328/versions/1.0.0,FSL open science dev dataset,11/19/2019,11/19/2019,1,MRI - anat,,,,,tool development dataset,tool development dataset,No,No,Human,,,"Hanayik, Taylor"
ds002330,https://openneuro.org/datasets/ds002330/versions/1.1.0,Neuroimaging predictors of creativity in healthy adults,12/12/2019,12/12/2019,66,"MRI - anat, MRI - func, MRI - dwi, FieldMap",Healthy/Control,"18-25, 26-34",rest,,,creativity,No,No,Human,"10.1016/j.neuroimage.2019.116292, 10.1016/j.dib.2020.105176",,"Poppenk, Jordan"
ds002336,https://openneuro.org/datasets/ds002336/versions/1.0.1,A multi-modal human neuroimaging dataset for data integration: simultaneous EEG and MRI acquisition during a motor imagery neurofeedback task: XP1,12/2/2019,12/4/2019,10,"MRI - anat, MRI - func, EEG",Healthy/Control,"18-25, 26-34, 35-50","eegNF, fmriNF, motorloc, eegfmriNF, MIpost, MIpre",,simultaneous EEG and MRI acquisition,,No,Yes,Human,"10.3389/fnhum.2017.00193, 10.3389/fnins.2017.00140, 10.1038/s41597-020-0498-3",,"Barillot, Christian"
ds002338,https://openneuro.org/datasets/ds002338/versions/1.0.1,A multi-modal human neuroimaging dataset for data integration: simultaneous EEG and MRI acquisition during a motor imagery neurofeedback task: XP2,12/3/2019,12/4/2019,16,"MRI - anat, MRI - func, EEG",Healthy/Control,"26-34, 35-50","1dNF, MIpost, MIpre, 2dNF, 2dNF_run-02, 1dNF_run-01",,simultaneous EEG and MRI acquisition,,No,Yes,Human,"10.3389/fnins.2017.00140, 10.1101/397729, https://www.hal.inserm.fr/inserm-02489459, 10.1038/s41597-020-0498-3",,"Barillot, Christian"
ds002345,https://openneuro.org/datasets/ds002345/versions/1.0.0,Narratives,12/11/2019,12/11/2019,345,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","tunnel, pieman, notthefall, slumlordreach, lucy, milkyway, prettymouth, schema, shapesphysical, shapessocial, merlin, 21styear, sherlock, black, forgot, bronx, piemanpni",,auditory story-listening,,No,No,Human,,,"Hasson, Uri"
ds002358,https://openneuro.org/datasets/ds002358/versions/1.0.0,columnar Finger representations,12/15/2019,12/15/2019,5,MRI - func,Healthy/Control,,"finger tapping, alternating grasping or retraction, rest",,"The datatype is rather unconventional compared to standard fMRI datasets.
It is a VASO study, where the functional data are used as structural data.
TRs and resolution is variable across time and contrasts within one run. ",,No,No,Human,10.1016/j.neuroimage.2019.116463,,"Bandettini, Peter"
ds002363,https://openneuro.org/datasets/ds002363/versions/1.0.0,Differential Repetition Suppression Effects to Computer Warnings as Revealed with Functional MRI,1/17/2020,12/16/2019,22,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",RSE1,,,,No,No,Human,,,"Kirwan, Brock"
ds002366,https://openneuro.org/datasets/ds002366/versions/1.0.0,"Emotion regulation in the Ageing Brain, University of Reading, BBSRC",12/18/2019,12/18/2019,34,"MRI - anat, MRI - func, MRI - dwi, Field Map",Healthy/Control,"51-65, 66+","Emoreg Run2, Emoreg Run1, Emoreg Run4, Emoreg Run3",,,,Yes,No,Human,10.1101/867689,10.1007/978-3-030-59051-2_13,"van Reekum, Carien"
ds002367,https://openneuro.org/datasets/ds002367/versions/1.0.0,OHBM abstract 2020,12/18/2019,12/18/2019,1,,,,,,VASO spiral,,No,No,Human,,,"Kurban, Deni"
ds002372,https://openneuro.org/datasets/ds002372/versions/1.0.0,Yale_Single_Subject_Task_Rest30x,12/19/2019,12/19/2019,1,"MRI - anat, MRI - func",Healthy/Control,51-65,"Gradual-onset continuous performance task, Reading the Mind in the eyes task, Card Guessing Task, Movies task, Stop-signal task, N-back task, Rest task",,scanned 30 times of approximately 10 months.,,Yes,No,Human,10.1016/j.neuroimage.2019.116366,,"Constable, Todd"
ds002374,https://openneuro.org/datasets/ds002374/versions/1.0.0,3AM straight reproducibility phantoms,12/19/2019,12/19/2019,1,MRI - dwi,,,,,Assess the consistency of dMRI model parameters across the different phantoms,,No,No,phantoms,,,"Khan, Ali"
ds002380,https://openneuro.org/datasets/ds002380/versions/1.0.0,SerumGreyMatterCorticalThickness,1/6/2020,1/6/2020,143,MRI - anat,,,,,,SerumGreyMatterCorticalThickness,No,No,Human,,,"Morey, Rajendra"
ds002382,https://openneuro.org/datasets/ds002382/versions/1.0.0,The neural basis of spoken word perception in older adults,3/4/2020,3/4/2020,61,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 66+","LISTEN02, REPEAT02, REPEAT01, LISTEN01",,,speech,No,No,Human,10.1101/2020.03.05.977306,,"Peelle, Jonathan"
ds002385,https://openneuro.org/datasets/ds002385/versions/1.0.1,PETfrog,1/17/2020,1/17/2020,20,"MRI - anat, PET",Healthy/Control,"11-17, 18-25, 26-34",,,,,Yes,No,Human,10.1038/s41467-020-14693-3,,"Luna, Beatriz"
ds002411,https://openneuro.org/datasets/ds002411/versions/1.1.0,fMRI dataset on program comprehension and expertise,1/28/2020,1/29/2020,29,"MRI - anat, MRI - func",Healthy/Control,18-25,ProgramCategorization,,,program comprehension and expertise,No,No,Human,10.1101/2020.01.28.923953,,"Nishimoto, Shinji"
ds002419,https://openneuro.org/datasets/ds002419/versions/1.0.1,"Short-term consumption of sucralose with, but not without, carbohydrate impairs neural and metabolic sensitivity to sugar",1/23/2020,1/22/2020,48,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34, 35-50","Taste 1, Taste 2",,,sugar sweetened beverages contributes to the prevalence of obesity and related comorbidities such as type 2 diabetes,Yes,No,Human,10.1016/j.cmet.2020.01.014,,"Small, Dana"
ds002422,https://openneuro.org/datasets/ds002422/versions/1.0.0,fMRI: resting state and arithmetic task,1/20/2020,1/19/2020,46,"MRI - anat, MRI - func, Field map",,,"arithm_run-02, arithm_run-01, rest",,,,No,No,Human,,,"Vlasova, Roza"
ds002424,https://openneuro.org/datasets/ds002424/versions/1.1.0,Reward and Working Memory in Attention Deficit Hyperactivity Disorder (ADHD),3/18/2020,3/17/2020,79,"MRI - anat, MRI - func",ADD/ADHD,,"VisuoSpatial Working Memory, Large Reward, Delayed Feedback, VisuoSpatial Working Memory, Small Reward, Delayed Feedback, VisuoSpatial Working Memory, Large Reward, Immediate Feedback, VisuoSpatial Working Memory, Small Reward, Immediate Feedback, Verbal Working Memory, Large Reward, Delayed Feedback, Verbal Working Memory, Large Reward, Immediate Feedback, Verbal Working Memory, Small Reward, Delayed Feedback, Verbal Working Memory, Small Reward, Immediate Feedback",120,,Reward and Working Memory,No,No,Human,"10.1016/j.nicl.2015.08.015, 10.1016/j.dcn.2015.06.002",,"Booth, James"
ds002425,https://openneuro.org/datasets/ds002425/versions/1.0.0,"The neural representation of visually evoked emotion is high-dimensional, categorical, and distributed across transmodal brain regions",5/3/2020,5/3/2020,5,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",CowenKeltnerEmotionMovie,,,visually evoked emotion,No,No,Human,10.1016/j.isci.2020.101060,,"Kamitani, Yukiyasu"
ds002513,https://openneuro.org/datasets/ds002513/versions/1.0.0,Increased brain reactivity to gambling unavailability is a marker of problem gambling,2/14/2020,2/14/2020,65,"MRI - anat, MRI - func, Field Map",Gambling disorder,,cueexposure,100,Events-related,Gambling Disorder,No,No,Human,,,"Billieux, Joël "
ds002522,https://openneuro.org/datasets/ds002522/versions/1.0.0,Contrast Response Functions,2/5/2020,2/5/2020,48,"MRI - anat, MRI - func",Autism Spectrum Disorder,"18-25, 26-34",CRF,,block design,Early visual cortex responses,Yes,No,Human," https://doi.org/10.1523/JNEUROSCI.2376-19.2020, https://doi.org/10.7554/eLife.36493.001, https://doi.org/10.1016/j.cub.2018.06.014,  https://doi.org/10.1016/j.neuroimage.2018.10.001, https://doi.org/10.1101/645846",,"Murray, Scott"
ds002543,https://openneuro.org/datasets/ds002543/versions/1.0.0,"Learning, Inhibitory Control, and Perception",7/19/2019,7/19/2019,49,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,"18-25, 26-34","Reinforcement learning, stop-signal, ppaffalomapper",,,"learning, frontobasal ganglia circuit",No,No,Human,"10.1093/cercor/bhy076, 10.1101/523340",,"Frank, Michael J."
ds002547,https://openneuro.org/datasets/ds002547/versions/1.0.0,SharedStates,2/7/2020,2/7/2020,26,"MRI - anat, MRI - func",Healthy/Control,,"other, self",,,Affective neuroscience,No,Yes,Human,10.1093/scan/nsx037,,"Scholte, Steven"
ds002549,https://openneuro.org/datasets/ds002549/versions/1.0.0,LCNeuro: PAG-B 1.0,2/13/2020,2/13/2020,1,"MRI - anat, MRI - func, Field Map",,,"maze, rest",4,Experimental + Case (S4),"Aging, Brain Insulin Resistance, Glucose, Ketone, beta-hydroxybutyrate",Yes,Yes,Human,,,"Mujica-Parodi, Lilianne"
ds002550,https://openneuro.org/datasets/ds002550/versions/1.0.0,Differential brain mechanisms of selection and maintenance of information during working memory (MEG data),2/11/2019,2/12/2019,22,"MRI - anat, MEG",Healthy/Control,"18-25, 26-34","visual working memory, one-back",,,working memory,Yes,No,Human,https://doi.org/10.1523/JNEUROSCI.2764-18.2019,,"Cohen, Leonardo"
ds002551,https://openneuro.org/datasets/ds002551/versions/1.0.0,Mouse_awake_rest,2/13/2020,2/13/2020,7,"MRI - anat, MRI - func",Healthy/Control,,rest,,resting state fMRI,,No,No,mouse,10.1101/2020.02.17.953547,,"Tanaka, Keiji"
ds002574,https://openneuro.org/datasets/ds002574/versions/1.0.0,Cerebellum Retinotopic Mapping,4/20/2019,4/20/2019,3,"MRI - anat, MRI - func, Field Map",Healthy/Control,,Population receptive field,,retinotopy,Cerebellum Retinotopic Mapping,No,No,Human,10.1016/j.cub.2019.04.012,,"Knapen, Tomas"
ds002578,https://openneuro.org/datasets/ds002578/versions/1.0.0,P3 study,2/19/2020,2/19/2020,2,"MRI - anat, EEG",Healthy/Control,26-34,attention,,,Cognition,No,No,Human,10.1523/JNEUROSCI.3477-07.2007,,"Makeig, Scott"
ds002596,https://openneuro.org/datasets/ds002596/versions/1.0.0,Cognitive control of sensory pain encoding in the pregenual anterior cingulate cortex,7/15/2019,7/15/2019,19,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Decoder construction, adaptive control",,,pain,Yes,No,Human,10.1016/j.cub.2020.07.066,,"Seymour, Ben"
ds002598,https://openneuro.org/datasets/ds002598/versions/1.0.0,Audiovisual Learning MEG Dataset,2/28/2020,2/28/2020,30,MEG,Healthy/Control,"18-25, 26-34",AVLearn,,,,No,Yes,Human,10.1101/2020.03.12.988402,,"Hämäläinen, Jarmo"
ds002602,https://openneuro.org/datasets/ds002602/versions/1.0.1,The Reading Brain Project L2 Adults,11/13/2019,11/13/2019,56,"MRI - anat, MRI - func, MRI - dwi, fmap",Healthy/Control,"18-25, 26-34","rest, read task",,,reading,No,No,Human,"10.1016/j.jneuroling.2018.03.005, 10.1007/s11145-017-9781-x, 10.1038/s41598-019-47176-7, http://blclab.org/reading_brain/",,"Ping, Li"
ds002603,https://openneuro.org/datasets/ds002603/versions/1.0.0,MB-EPI-comparison,3/3/2020,3/3/2020,23,"MRI - anat, MRI - func, Field Map",Healthy/Control,18-25,working memory,40,event-related,Working memory,No,No,Human,,,"Scholte, Steven"
ds002606,https://openneuro.org/datasets/ds002606/versions/1.0.1,bids_dataset,12/3/2019,12/3/2019,10,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","locAPsms16iso, locPAsms16iso5vol, locPAepi3d5vol, locAPepi3d",,,,Yes,No,Human,10.1371/journal.pone.0225286,,"Boulant, Nicolas"
ds002608,https://openneuro.org/datasets/ds002608/versions/1.0.1,RPN-signature_Study1,5/6/2019,5/6/2019,41,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",resting-state,,predictive modelling training sample,"resting-state, pain",No,No,Human,10.1038/s41467-019-13785-z,,"Bingel, Ulrike"
ds002609,https://openneuro.org/datasets/ds002609/versions/1.0.0,RPN-signature_Study2,11/14/2019,11/14/2019,49,"MRI - anat, MRI - func, Field Map, calibration",Healthy/Control,"18-25, 26-34",rest,,,resting-state pain susceptibility network,No,No,Human,"T. Spisak et al., Pain-free resting-state functional brain connectivity predicts individual pain sensitivity",,"Bingel, Ulrike"
ds002614,https://openneuro.org/datasets/ds002614,Meditacion Interocepcion,3/7/2019,3/7/2019,1,"MRI - anat, MRI - func",,,rest,,Meditacion Interocepcion,Meditacion Interocepcion,No,No,Human,,,
ds002634,https://openneuro.org/datasets/ds002634/versions/1.0.1,Project_larynx,3/12/2020,3/13/2020,20,"MRI - anat, MRI - dwi",Healthy/Control,"18-25, 26-34, 35-50",,,,,No,No,Human,"10.1101/645234, 10.1101/2020.02.20.958314",,"Watkins, Kate"
ds002647,https://openneuro.org/datasets/ds002647/versions/1.0.0,Isometric exercise facilitates attention to salient events in women via the noradrenergic system,2/19/2020,2/19/2020,91,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50, 51-65, 66+","Isometric Handgrip (IHG) Task, Auditory Oddball Task",,,,No,No,Human,10.1016/j.neuroimage.2020.116560,,"Mather, Mara"
ds002655,https://openneuro.org/datasets/ds002655/versions/1.0.1,The medial temporal lobe supports mnemonic discrimination for event duration,4/10/2020,4/10/2020,35,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34",TemporalMST,2500,,Memory,No,No,Human,,,"Kirwan, Brock"
