,AccessionNumber,Dataset URL,Dataset name,ReleaseDate,Most recent snapshot date (MM/DD/YYYY),NSubjects,Modalities,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
811,ds004465,https://openneuro.org/datasets/ds004465/versions/1.0.0,functional MRI of sleeping pigeons,4/7/2023,4/7/2023,15,"MRI - func, MRI - anat",Healthy / Control,,"sleep, auditory",,Resting-State,Sleep,Yes,No,Pigeon,,,"Rattenborg, Niels C."
812,ds004466,https://openneuro.org/datasets/ds004466/versions/1.0.2,Mapping the Connectome of Synaesthesia: An Open Access MRI Dataset,2/7/2023,2/7/2023,127,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65, 66+","rest, TODO: full task name for rest",,,,No,No,Human,,,"Ward, Jamie"
813,ds004467,https://openneuro.org/datasets/ds004467/versions/1.0.0,MRI data from 20 adults in response to videos of dialogue and monologue from Sesame Street,9/14/2023,9/14/2023,18,"MRI - func, MRI - anat",,"18-25, 26-34","langloc, litlong, litshort, tom, Auditory Language Localizer, Sesame Street - Interleaved Dialogue, Sesame Street - Blocked Language, Theory of Mind Localizer",,fMRI study; see OSF page for details,language,No,No,Human,,,"Saxe, Rebecca"
814,ds004469,https://openneuro.org/datasets/ds004469/versions/1.1.3,Temporal Lobe Epilepsy - UNAM,8/26/2023,8/26/2023,66,"MRI - func, MRI - anat",epilepsy,"11-17, 18-25, 26-34, 35-50, 51-65","resting, sternberg",1,,memory,No,No,Human,10.1101/2022.08.02.22278343,,"Concha, Luis"
815,ds004470,https://openneuro.org/datasets/ds004470/versions/1.0.1,Stereotactic Neurosurgery Dataset (SNSX),2/7/2023,2/7/2023,32,MRI - anat,,"18-25, 26-34, 35-50, 51-65, 66+",,,,Human Brain,No,No,Human,https://doi.org/10.1002/hbm.25137,https://doi.org/10.1002/hbm.25137,"Khan, Ali R."
816,ds004471,https://openneuro.org/datasets/ds004471/versions/1.0.1,London Heath Sciences Center Parkinson's Disease Dataset (LHSCPD),2/7/2023,2/7/2023,40,MRI - anat,,"35-50, 51-65, 66+",,,,Human Brain,No,No,Human,10.1007/s00429-021-02408-3,10.1007/s00429-021-02408-3,"Lau, Jonathan C."
817,ds004473,https://openneuro.org/datasets/ds004473/versions/1.0.2,sEEG Forced Two-Choice Task,2/8/2023,2/8/2023,8,"MRI - anat, iEEG",Epilepsy,"26-34, 35-50",SlowFast,300,Forced Two-Choice Task,Motor Neuroscience,No,Yes,Human,10.1088/1741-2552/acae0a,10.1088/1741-2552/acae0a,"Swann, Nicole C."
818,ds004475,https://openneuro.org/datasets/ds004475/versions/1.0.3,,7/31/2023,7/31/2023,30,"MRI - anat, EEG",,,task,,This mobile brain body imaging (MoBI) experiment investigates brain activity correlated to gait adaptation during split-belt treadmill walking. 30 participants completed an abrupt and gradual split-belt walking paradigm (2:1 belt speed ratio). ,EEG,No,No,Human,,,"Ferris, Daniel P."
819,ds004477,https://openneuro.org/datasets/ds004477/versions/1.0.2,PES - Pandemic Emergency Scenario,2/8/2023,2/8/2023,9,EEG,Healthy / Control,,PES,360,,Decision-Making,No,No,Human,https://doi.org/10.3389/fnhum.2019.00013,,"Poli, Riccardo"
820,ds004478,https://openneuro.org/datasets/ds004478/versions/1.0.2,Neural activity induced by sensory stimulation can drive large-scale cerebrospinal fluid flow during wakefulness in humans,3/3/2023,3/3/2023,6,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",checker,,,,No,No,Human,,,"Diamandis, Zachary"
821,ds004482,https://openneuro.org/datasets/ds004482/versions/1.0.0,ABSeqfMRI,7/7/2023,7/7/2023,23,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","abseq, loca",,,Cognitive science,No,No,Human, https://doi.org/10.1101/2022.10.15.512361, https://doi.org/10.1101/2022.10.15.512361,"Dehaene, Stanislas"
822,ds004483,https://openneuro.org/datasets/ds004483/versions/1.0.0,ABSeqMEG,7/7/2023,7/7/2023,19,MEG,Healthy / Control,,abseq,,,Cognitive science,No,No,Human,https://doi.org/10.1101/2022.10.15.512361v1,https://doi.org/10.1101/2022.10.15.512361v1,"Dehaene, Stanislas"
823,ds004484,https://openneuro.org/datasets/ds004484/versions/1.0.1,Neural activity induced by sensory stimulation can drive large-scale cerebrospinal fluid flow during wakefulness in humans,3/3/2023,3/3/2023,20,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",checker,,,,No,No,Human,,,"Lewis, Laura D."
824,ds004488,https://openneuro.org/datasets/ds004488/versions/1.1.1,A large-scale fMRI dataset for human action recognition,3/5/2023,3/5/2023,30,"MRI - func, MRI - anat",,"18-25, 26-34","action, TODO: full task name for action",,,,No,Yes,,,,"Zhen, Zonglei"
825,ds004489,https://openneuro.org/datasets/ds004489/versions/1.0.1,Raw data for Engaging in word recognition elicits highly specific modulations in visual cortex,2/9/2023,2/9/2023,15,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","Retinotopy, catLoc, FOV",,,,No,No,Human,https://doi.org/10.1101/2022.10.10.511419,https://doi.org/10.1101/2022.10.10.511419,"Yeatman, Jason D."
826,ds004493,https://openneuro.org/datasets/ds004493/versions/1.0.2,Neural activity induced by sensory stimulation can drive large-scale cerebrospinal fluid flow during wakefulness in humans,3/3/2023,3/3/2023,16,"MRI - func, MRI - anat",,"18-25, 26-34",checker,,,,No,No,Human,,,"Lewis, Laura D."
827,ds004495,https://openneuro.org/datasets/ds004495/versions/1.0.0,Episodic and Semantic Memory fMRI Dataset,12/14/2023,12/14/2023,40,MRI - func,,"18-25, 26-34, 35-50","ep, sem, vis",,,,No,Yes,Human,,,"Henson, Rik"
828,ds004496,https://openneuro.org/datasets/ds004496/versions/2.1.2,NaturalObejctDataset,2/22/2023,2/22/2023,30,"MRI - func, MRI - anat",,"18-25, 26-34","coco, floc, imagenet, prf, coco experiment fixation color change detection, functional category-selective localizer, TODO: full task name for naturalvision, population receptive field model mapping",,,,No,Yes,,,,"Zhen, Zonglei"
829,ds004498,https://openneuro.org/datasets/ds004498/versions/1.0.0,Perinatal Stroke,2/15/2023,2/15/2023,1,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,11-17,"motor, rest",,MRI,,Yes,No,Human,https://doi.org/10.1101/2022.10.26.513940 https://doi.org/10.1093/cercor/bhab387,,"Timothy Laumann, Ph.D."
830,ds004499,https://openneuro.org/datasets/ds004499/versions/1.0.3,Multi-echo simultaneous multislice fMRI dataset: Effect of acquisition parameters on fMRI data,1/4/2024,1/4/2024,50,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","FCNI1, FCNI2, FCNI3, FCNI4, FCNI5, FCNI6, FCNI7",1,Block visual-motor taks with repetitions over various acquisititon parameters using multi-echo fMRI,Brain,Yes,No,Human,10.1002/hbm.25698,,"Tomas, Slavicek"
831,ds004502,https://openneuro.org/datasets/ds004502/versions/1.0.1,Anticipatory differences between Attention and Expectation,2/16/2023,2/16/2023,48,EEG,,"18-25, 26-34",attexp,1280,,Cognitive Neuroscience,No,No,Human,,,"Ruz, Maria"
832,ds004504,https://openneuro.org/datasets/ds004504/versions/1.0.7,"A dataset of 88 EEG recordings from: Alzheimer's disease, Frontotemporal dementia and Healthy subjects",2/17/2023,2/17/2023,88,EEG,Alzheimers,,eyesclosed,,"Resting state EEG recordings, to investigate potential differences in resting-state EEG recordings between individuals with Alzheimer's disease or Frontotemporal dementia and healthy individuals.","Neuroscience, Alzheimer's disease, Frontotemporal dementia",No,No,Human,"https://doi.org/10.3390/diagnostics11081437 , https://doi.org/10.1016/j.compeleceng.2019.03.018","Analysis of electroencephalographic signals complexity regarding Alzheimer's Disease, Alzheimer’s Disease and Frontotemporal Dementia: A Robust Classification Method of EEG Signals and a Comparison of Validation Methods","Tzallas, Alexandros T."
833,ds004505,https://openneuro.org/datasets/ds004505/versions/1.0.4,Real World Table Tennis,3/30/2023,3/30/2023,25,"MRI - anat, EEG",Healthy / Control,,TableTennis,,,,No,No,Human,,,"Ferris, Daniel P."
834,ds004507,https://openneuro.org/datasets/ds004507/versions/1.1.0,PMJ BIDS Dataset,3/10/2023,3/10/2023,10,MRI - anat,Healthy / Control,"18-25, 26-34",,3,,Spinal Cord,No,No,Human,,,"Cohen-Adad, J."
835,ds004509,https://openneuro.org/datasets/ds004509/versions/1.0.0,Extensive topographic remapping and functional sharpening in the adult rat visual pathway upon first visual experience,2/22/2023,2/22/2023,20,"MRI - func, MRI - anat",control vs Dark reared,,ret,4,Visual deprivation model,Visual Neuroscience,Yes,No,Rat,10.1101/2022.06.20.496863,,"Shemesh, Noam"
836,ds004510,https://openneuro.org/datasets/ds004510/versions/1.1.0,An fMRI dataset for testing semantic language decoders,2/22/2023,2/22/2023,3,MRI - func,,"18-25, 26-34, 35-50","AttendMaleSpeaker, Imagined Speech, AttendFemaleSpeaker, laluna, partlycloudy, presto, sintel",,,,No,No,Human,,,"Huth, Alexander G."
837,ds004511,https://openneuro.org/datasets/ds004511/versions/1.0.2,Deception_data,2/24/2023,2/24/2023,45,EEG,Healthy / Control,"18-25, 26-34, 35-50","CC, GG, Rest",,Between-Subject,Cognitive Control and Deception,No,No,Human,https://doi.org/10.3758/s13428-020-01516-y,,"Lau, Zen Juen"
838,ds004513,https://openneuro.org/datasets/ds004513/versions/1.0.4,The energetic costs of the human connectome,3/14/2023,3/14/2023,20,"MRI - dwi, MRI - anat, MRI - func, PET",Healthy / Control,"18-25, 26-34, 35-50, 51-65",rest,,,,No,No,Human,,,"Riedl, Valentin"
839,ds004515,https://openneuro.org/datasets/ds004515/versions/1.0.0,EEG: Alcohol imagery reinforcement learning task with light and heavy drinker participants,6/9/2023,6/9/2023,54,EEG,Heavy drinking,"18-25, 26-34, 35-50, 51-65",ProbabilisticSelection,140,Reinforcement learning,Reinforcement Learning,No,No,Human,,pending,"Cavanagh, James F"
840,ds004516,https://openneuro.org/datasets/ds004516/versions/2.0.0,Individual differences in neural event segmentation of continuous experiences,3/7/2023,3/7/2023,43,"MRI - func, MRI - anat",Healthy / Control,,"defeat, growth, iteration, lemonade",,,,No,Yes,Human,https://doi.org/10.1101/2022.09.09.507003,,"Finn, Emily S."
841,ds004519,https://openneuro.org/datasets/ds004519/versions/1.0.1,EsterAndNouri2023,3/4/2023,3/4/2023,40,EEG,,,ProAntiCue,,Within-participants,,No,No,Human,https://www.biorxiv.org/content/10.1101/2022.07.05.498906v4.abstract,,"Nouri, Asal"
842,ds004520,https://openneuro.org/datasets/ds004520/versions/1.0.1,EsterPytel2023,3/6/2023,3/6/2023,33,EEG,,,Retrocue,,within-participants,Cognitive Neuroscience,No,No,Human,https://www.biorxiv.org/content/10.1101/2022.08.12.503778v3.abstract,,"Pytel, Paige"
843,ds004521,https://openneuro.org/datasets/ds004521/versions/1.0.1,Changes in behavioral priority influence the accessibility of working memory content - Experiment 2,3/7/2023,3/7/2023,34,EEG,,,Postcues,,within-participants,Cognitive Neuroscience,No,No,Human,https://www.biorxiv.org/content/10.1101/2022.08.12.503778v3.abstract,,"Pytel, Paige"
844,ds004529,https://openneuro.org/datasets/ds004529/versions/1.1.1,"Modeling Face Recognition in the Predictive Coding Framework: 
A Combined Computational Modeling and Functional Imaging Study - Stage 2",3/13/2023,3/13/2023,34,"MRI - func, MRI - anat",,"18-25, 26-34","FRAPPS, Localizer",,,,No,Yes,Human,https://osf.io/tye24/,,"Jansen, Andreas"
845,ds004532,https://openneuro.org/datasets/ds004532/versions/1.2.0,EEG: Probabilistic Selection Task (PST) + PST with Cabergoline Challenge,3/16/2023,3/16/2023,110,EEG,Healthy / Control,"18-25, 26-34",PST,300,Probabilistic Selection,Reinforcement Learning,No,No,Human,doi:10.1038/ncomms6394,n/a,"Frank, Michael J"
846,ds004533,https://openneuro.org/datasets/ds004533/versions/1.0.0,Ironia VEV,8/12/2023,8/12/2023,45,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","ironiavev, rest",3,episodic,language,No,No,Human,,,"Ibarra, Cristian"
847,ds004539,https://openneuro.org/datasets/ds004539/versions/1.1.1,TODO: name of the dataset,3/22/2023,3/22/2023,10,"MRI - func, MRI - anat",,"18-25, 26-34","blockStim, eventStim, blockStimLongTR, blockStimVisOnly, eventStimVisOnly, eventStimRandom, blockStimRandom",,,Visual and somatosensory,No,No,Human,,,"Goebel, Rainer"
848,ds004542,https://openneuro.org/datasets/ds004542/versions/1.0.0,Social interaction dyads,10/20/2023,10/20/2023,4,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","FBOS, SIAmodal, SIpSTS, biomotion, tom, SIdyads",,event related,social perception,No,No,Human,https://doi.org/10.31234/osf.io/x3avb,,"Isik, Leyla"
849,ds004544,https://openneuro.org/datasets/ds004544/versions/1.0.0,An fMRI Investigation of the Neurocognitive Processing of Strategies and Measures,3/30/2023,3/30/2023,38,"MRI - func, MRI - anat",,,"GoalAchievement, Phrases, Words",,,,No,No,Human,,,"Williams, Jeff"
850,ds004551,https://openneuro.org/datasets/ds004551/versions/1.0.6,testMIproject,4/7/2023,4/7/2023,114,iEEG,,"0-10, 11-17, 18-25, 26-34, 35-50",sleep,,,,No,No,Human,,,"Asano, Eishi"
851,ds004552,https://openneuro.org/datasets/ds004552/versions/1.0.1,Network-specific metabolic and hemodynamic effects elicited by non-invasive brain stimulation,4/19/2023,4/19/2023,1,MRI - anat,,,,,Within-subject,Neuromodulation,No,Yes,Human,,1,"Rodrigo M. Braga, PhD"
852,ds004553,https://openneuro.org/datasets/ds004553/versions/1.0.1,Learning rules of engagement for social exchange within and between groups,4/20/2023,4/20/2023,50,"MRI - func, MRI - anat",,,"nonsoc, social",,,Learning and fairness,Yes,No,Human,,,"Dreu, Carsten de"
853,ds004554,https://openneuro.org/datasets/ds004554/versions/1.0.4,Forced Picture Naming Task,4/21/2023,4/21/2023,16,EEG,Healthy / Control,,picturenaming,270,Forced Picture Naming Task,,No,No,Human,10.3934/mbe.2023507,,"Beuter, Q. Mesnildrey and A."
854,ds004556,https://openneuro.org/datasets/ds004556/versions/1.0.1,The role of superstition of cognitive control during neurofeedback training - part 1,4/24/2023,4/24/2023,53,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50, 51-65",feedback,,,,No,No,Human,,,"Wood, Guilherme"
855,ds004557,https://openneuro.org/datasets/ds004557/versions/1.1.0,The role of superstition of cognitive control during neurofeedback training - part 2,4/24/2023,4/24/2023,35,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50",feedback,,,,No,No,Human,,,"Wood, Guilherme"
856,ds004560,https://openneuro.org/datasets/ds004560/versions/1.0.1,The Phantom of Bern: repeated scans of two volunteers with eight different combinations of MR sequence parameters,4/26/2023,4/26/2023,2,MRI - anat,Healthy / Control,,,,same-session rescans,Brain morphometry,No,Yes,Human,https://doi.org/10.1016/j.neurad.2023.04.003,,"Rummel, C."
857,ds004561,https://openneuro.org/datasets/ds004561/versions/1.0.0,Illusion of Agency over Electrically-Actuated Movements,5/4/2023,5/4/2023,23,EEG,Healthy / Control,18-25,agencyRT,,,,No,Yes,Human,,,"Nusbaum, Howard"
858,ds004562,https://openneuro.org/datasets/ds004562/versions/1.0.4,MVPA for motor adaptation,9/13/2023,9/13/2023,23,"MRI - func, MRI - anat",,"18-25, 26-34",adaptation,,,Sensorimotor adaptation,No,No,Human,,,"Jeong, Jaeseung"
859,ds004563,https://openneuro.org/datasets/ds004563/versions/1.0.1,Vicarious touch: overlapping neural patterns between seeing and feeling touch,7/5/2023,7/5/2023,40,EEG,,"11-17, 18-25, 26-34, 35-50",Touch decoding,1968,,,No,Yes,Human,https://doi.org/10.1101/2022.06.21.497107,https://doi.org/10.1101/2022.06.21.497107,"Rich, Anina N"
860,ds004564,https://openneuro.org/datasets/ds004564/versions/1.0.1,Demo,5/16/2023,5/16/2023,2,"MRI - func, MRI - anat",,,rest,,,,No,No,Human,,,"Wernicke, Carl"
861,ds004569,https://openneuro.org/datasets/ds004569/versions/1.0.0,A high-density diffuse optical tomography dataset of naturalistic viewing,11/3/2023,11/3/2023,58,MRI - func,,"18-25, 26-34, 35-50, 51-65, 66+",movie,,,,No,No,,,,"Peelle, Jonathan E."
862,ds004572,https://openneuro.org/datasets/ds004572/versions/1.2.1,OTKA PLB-HYP Study1,5/25/2023,5/25/2023,52,EEG,Healthy / Control,,"baseline1, baseline2, experience1, experience2, experience3, experience4, induction1, induction2, induction3, induction4",,,Hypnosis,No,No,Human,,,"Lutoskin, Anna"
863,ds004574,https://openneuro.org/datasets/ds004574/versions/1.0.0,Cross-modal Oddball Task.,5/24/2023,5/24/2023,146,EEG,Parkinson's disease,,Oddball,240,Observational,Cross-modal Oddball,No,No,Human,10.1101/2022.07.26.22278079,,"nandakumar-narayanan@uiowa.edu, Nandakumar Narayanan"
864,ds004577,https://openneuro.org/datasets/ds004577/versions/1.0.1,Dataset containing resting EEG for a sample of 103 normal infants in the first year of life,5/25/2023,5/25/2023,103,EEG,Healthy / Control,,EEG,,"EEG recording: The study was performed in a dimly lit soundproof room. While recording each child remained on its mother's lap and wore a polyester cap with surface electrodes distributed according to the 10–20 International System (Fp1, Fp2, F3, F4, C3, C4, P3, P4, O1, O2, F7, F8, T3, T4, T5, T6 Fz, Cz, Pz). Impedances were at or below 5000 Ω.  Referential EEG recordings were taken during spontaneous quiet sleep, stage II, for a 30 min interval using linked ear lobes as reference.",EEG in healthy at term infants from 0 to 12 months,Yes,No,Human,"DOI: 10.1016/j.earlhumdev.2011.05.010, DOI: 10.1016/j.neuroimage.2011.11.001, https://doi.org/10.1016/j.neuroimage.2022.119035","Otero GA, Harmony T, Pliego-Rivero FB, Ricardo-Garcell J, Bosch-Bayard J, Porcayo-Mercado R, Fernández-Bouzas A, Díaz-Comas L, Galán L, Vieyra-Reyes P, Fernández T. QEEG norms for the first year of life. Early Hum Dev, 87: 691-703, 2011. DOI: 10.1016/j.earlhumdev.2011.05.010;  92.;	Bosch-Bayard J, Biscay RJ, Fernandez T, Otero GA, Ricardo-Garcell J, Aubert-Vazquez E, Evans AC, Harmony T. EEG effective connectivity during the first year of life mirrors brain synaptogenesis, myelination, and early right hemisphere predominance. NeuroImage 252 (2022) 119035. https://doi.org/10.1016/j.neuroimage.2022.119035; 92.	Bosch-Bayard Jorge, Valdés-Sosa Pedro A., Fernandez T., Otero G., Pliego Rivero B., Ricardo-Garcell J., González-Frankenberger B., Galán-García L., Fernandez-Bouzas A., Aubert-Vazquez E., Lage-Castellanos A., Rodríguez-Valdés R., Harmony, T. 3D Statistical Parametric Mapping of quiet sleep EEG in the first year of life. Neuroimage, 59: 3297–3308, 2012. DOI: 10.1016/j.neuroimage.2011.11.001","México), Lourdes Cubero-Rego (Neurodevelopment Research Unit; Instituto de Neurobiología; Universidad Nacional Autónoma de"
865,ds004579,https://openneuro.org/datasets/ds004579/versions/1.0.0,Interval Timing Task,5/25/2023,5/25/2023,139,EEG,Parkinson's disease; control,,IntervalTiming,160,Observational,Human Interval Timing,No,No,Human,doi.org/10.1101/2022.07.26.22278079,https://doi.org/10.1101/2022.07.26.22278079,"nandakumar-narayanan@uiowa.edu, Nandakumar Narayanan"
866,ds004580,https://openneuro.org/datasets/ds004580/versions/1.0.0,Simon-conflict Task.,5/25/2023,5/25/2023,147,EEG,Parkinson's; control,,Simon,,Cross-Section,Simon Reaction-Time Task,No,No,Human,doi.org/10.1101/2022.07.26.22278079,https://www.medrxiv.org/content/10.1101/2022.07.26.22278079v1.full,"nandakumar-narayanan@uiowa.edu, Nandakumar Narayanan"
867,ds004581,https://openneuro.org/datasets/ds004581/versions/2.0.1,A Comparison of Structural Brain Differences in Monolingual and Highly Proficient Multilingual Speakers,3/17/2024,3/17/2024,30,"MRI - dwi, MRI - anat",,"18-25, 26-34",,1,,Neurolinguistics,No,No,Human,,,"Corina, David P."
868,ds004582,https://openneuro.org/datasets/ds004582/versions/1.0.0,FakeFaceEmo_data,6/5/2024,6/5/2024,73,EEG,Healthy / Control,"18-25, 26-34, 35-50",FF,,,Reality Perception,No,No,Human,,,"Ngoi, Zi Liang"
869,ds004584,https://openneuro.org/datasets/ds004584/versions/1.0.0,Rest eyes open,6/7/2023,6/7/2023,149,EEG,Parkinson's disease; control,,Rest,0,Cross-sectional,Cognition / Parkinson's disease,No,No,Human,doi.org/10.21203/rs.3.rs-2666578/v1,doi.org/10.21203/rs.3.rs-2666578/v1,"nandakumar-narayanan@uiowa.edu, Nandakumar Narayanan"
870,ds004588,https://openneuro.org/datasets/ds004588/versions/1.2.0,Neuma,6/1/2023,6/1/2023,42,EEG,,,unnamed,,,Neuromarketing,No,No,Human,,,"Kompatsiaris, Ioannis"
871,ds004589,https://openneuro.org/datasets/ds004589/versions/1.0.0,fMRI Investigations of Individual Differences on Memory Activation for Faces and Words: The Effects of Handedness and Phenomenal Experience,8/16/2023,8/16/2023,99,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Handedness, FaceTest",,,Memory,No,No,Human,,,"Kirwan, C. Brock"
872,ds004590,https://openneuro.org/datasets/ds004590/versions/1.0.0,ds004590,6/2/2023,6/2/2023,4,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","recognition, retrieval",,,,No,No,Human,https://doi.org/10.1101/2023.01.09.523096,,"Kuhl, Brice"
873,ds004592,https://openneuro.org/datasets/ds004592/versions/1.0.1,SONG dataset,6/16/2023,6/16/2023,27,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","documentary, sitcomep1, gradCPTscene, rest1, gradCPTface, rest2, sitcomep2",,,,No,No,Human,https://doi.org/10.1101/2022.11.05.515307,https://doi.org/10.1101/2022.11.05.515307,"Rosenberg, Monica D."
874,ds004594,https://openneuro.org/datasets/ds004594/versions/1.0.1,Brain surface fingerprints,9/20/2023,9/20/2023,20,"MRI - func, MRI - anat",,,matchjudgment,,,,No,No,,,,"Caulfield, M. Kathleen"
875,ds004595,https://openneuro.org/datasets/ds004595/versions/1.0.0,EEG: RL Task (3-Armed Bandit) with alcohol cues in hazardous drinkers and ctls,7/28/2023,7/28/2023,53,EEG,Alcohol Use,"18-25, 26-34, 35-50, 51-65",ThreeArmedBandit,300,3-armed bandit,Reinforcement Learning,No,No,Human,https://sites.google.com/site/crclunm/publications-and-press,pending,"Cavanagh, James F"
876,ds004597,https://openneuro.org/datasets/ds004597/versions/2.0.0,Gloups,6/13/2023,6/13/2023,27,"MRI - func, MRI - anat",,"18-25, 26-34","gloups, gloupsshort",,,Cortico-cerebellar monitoring of speech sequence production,No,No,Human,,,"Anton, Jean-Luc"
877,ds004598,https://openneuro.org/datasets/ds004598/versions/1.0.0,LFP during linear track in 6-month old TgF344-AD rats,7/6/2023,7/6/2023,9,EEG,Alzheimers,,Lineartrack,3,4 WT and 5 Tg rats underwent linear track experiments,Hippocampal LFPs in Alzheimer's Disease,No,No,Rat,,1,"Georgios, Keliris A."
878,ds004602,https://openneuro.org/datasets/ds004602/versions/1.0.1,Registerd Replication Report of ERN/Pe Psychometrics,7/21/2023,7/21/2023,182,EEG,Healthy / Control,,mixed,,,Performance Monitoring,No,No,Human,,,"Larson, Michael J"
879,ds004603,https://openneuro.org/datasets/ds004603/versions/1.1.0,Visual Attribute-Specific Contextual Trajectory Paradigm,6/13/2023,6/13/2023,37,EEG,Healthy / Control,"11-17, 18-25, 26-34",CTP,,Within-subjects,Vision,No,No,Human,,,"(dr.pat.johnston@icloud.com), Patrick Johnston"
880,ds004604,https://openneuro.org/datasets/ds004604/versions/1.1.0,Cerebrovascular Reactivity Normative Dataset,8/9/2023,8/9/2023,50,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",gas,,Bloc design,Cerebrovascular Reactivity,No,Yes,Human,,"Rovai A., Lolli V., Trotta N., Goldman S., De Tiège X., ""CVRmap - A Complete Cerebrovascular Reactivity Mapping Post-Processing BIDS Toolbox"" (to be published)","De Tiège, Xavier"
881,ds004605,https://openneuro.org/datasets/ds004605/versions/1.0.1,Emotion and Development Branch Phenotyping and DTI (2012-2017),3/6/2024,3/6/2024,132,"MRI - anat, MRI - dwi","ADHD, DMDD, and healthy volunteers","0-10, 11-17, 18-25",,,Observational,,No,No,Human,,,"Linke, Julia O."
882,ds004611,https://openneuro.org/datasets/ds004611/versions/1.0.2,Developmental Relaxometry 2023,4/15/2024,4/15/2024,73,MRI - anat,Healthy / Control,,,,,Developmental relaxometry,No,Yes,Human,,,"Denervaud, Solange"
883,ds004616,https://openneuro.org/datasets/ds004616/versions/1.1.0,Spatial distribution of hand-grasp motor task activity in spinal cord functional magnetic resonance imaging,7/18/2023,7/18/2023,26,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",hand grasp,,,,No,Yes,Human,https://doi.org/10.1101/2023.04.25.537883,,"Bright, Molly G"
884,ds004621,https://openneuro.org/datasets/ds004621/versions/1.0.1,The Nencki-Symfonia EEG/ERP dataset,10/12/2023,10/12/2023,42,EEG,,"18-25, 26-34","Extended Multi-Source Interference Task (MSIT+), Oddball, Resting state protocol (REST), Simple reaction time task (SRT)",,,cognitive control,No,No,Human,,,"Ewa, Kublik"
885,ds004624,https://openneuro.org/datasets/ds004624/versions/1.2.2,Intracranial recordings using BCI2000 and the CorTec BrainInterchange,6/30/2023,6/30/2023,2,"MRI - anat, iEEG",,,,,,,No,No,,,,"Miller, K. J."
886,ds004625,https://openneuro.org/datasets/ds004625/versions/1.0.2,Mind in Motion Young Adults Walking Over Uneven Terrain,2/3/2024,2/3/2024,32,EEG,Healthy / Control,"18-25, 26-34, 35-50",mixed,,Walking over uneven terrain; speed,EEG,No,No,Human,,,"Ferris, Daniel P."
887,ds004626,https://openneuro.org/datasets/ds004626/versions/1.0.2,Can we dissociate hypervigilance to social threats from altered perceptual decision-making processes in lonely individuals? An exploration with Drift Diffusion Modelling and EEG event-related potentials.,8/7/2023,8/7/2023,52,EEG,Healthy / Control,"18-25, 26-34, 35-50",DotProbe,720,,Loneliness,No,No,Human,https://doi.org/10.1111/psyp.14406,,"Okruszek, Łukasz"
888,ds004627,https://openneuro.org/datasets/ds004627/versions/1.1.0,National Institute of Mental Health Characterization and Treatment of Adolescent Depression (NIMH CAT-D),7/7/2023,7/7/2023,130,"MRI - func, MRI - anat","Healthy Volunteers, Depression",,rest,,Open Label Treatment Trial,Rest,Yes,No,Human,https://doi.org/10.1016/j.jaac.2022.04.004,"Sadeghi et al., Mood and Behaviors of Adolescents With Depression in a Longitudinal Study Before and During the COVID-19 Pandemic, 2022, Camp et al., Test-retest reliability of functional connectivity in depressed adolescents, 2023","Stringaris, Argyris"
889,ds004630,https://openneuro.org/datasets/ds004630/versions/1.0.1,SpiDa-MRI neuroimaging dataset,2/7/2024,2/7/2024,49,"MRI - func, MRI - anat",,,"passiveview, restpost, restpre",,,,No,Yes,,,,"Scharnowski, Frank"
890,ds004631,https://openneuro.org/datasets/ds004631/versions/1.0.0,Top-down attention impacts neural dynamics during narratives with overlapping event scripts,7/10/2023,7/10/2023,38,"MRI - func, MRI - anat",,"18-25, 26-34",Listen,,,,Yes,No,Human,,,"Baldassano, C."
891,ds004632,https://openneuro.org/datasets/ds004632/versions/1.0.3,DTI readouts for designing a preclinical stem-cell therapy trial in experimental stroke,7/11/2023,7/11/2023,11,"MRI - dwi, MRI - anat",stroke,0-10,,,,,Yes,No,Rat,10.1038/s41598-022-08713-z,"Dumot C, et al. Neurofunctional and neuroimaging readouts for designing a preclinical stem-cell therapy trial in experimental stroke. Sci Rep. 2022;12(1):4700. ","CHAUVEAU, Fabien"
